scan_time,apt_date,short_addr,num_booked,num_slots,num_booked_2h,num_slots_2h,num_booked_45m,num_slots_45m,num_booked_15m,num_slots_15m,first_tm,last_tm,company,all_slots,is_active,loc_id_hash,api_version,xfields
2022-02-14 09:55,2022-02-15,5342 Oss,52,52,0,0,0,0,0,0,08:00,20:45,Spoedtestcorona,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,True,46b000b,2,
2022-02-14 09:55,2022-02-15,4815 Breda,52,52,0,0,0,0,0,0,08:00,20:45,Spoedtestcorona,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,True,3c7ff3b,2,
2022-02-14 09:55,2022-02-15,6545 Nijmegen,52,52,0,0,0,0,0,0,08:00,20:45,Spoedtestcorona,XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,True,313c321,2,
2022-02-14 09:55,2022-02-15,6131 Sittard,2,24,0,0,0,0,0,0,12:00,17:45,Lead Healthcare Covid Services,----------XX------------,True,e4346c6,2,
#,,,,,,,,,,,,,,,,,,
#scan_time,apt_date,short_addr,num_booked,num_slots,num_booked_2h,num_slots_2h,num_booked_45m,num_slots_45m,num_booked_15m,num_slots_15m,first_tm,last_tm,company,all_slots,is_active,loc_id_hash,api_version,xfields
2022-02-14 11:55,2022-02-14,3769 Soesterberg,0,32,0,8,0,3,0,1,12:00,19:45,Covid Plus,--------------------------------,True,c0b3595,2,
2022-02-14 11:55,2022-02-14,3817 Amersfoort,3,24,2,8,1,3,0,1,12:00,17:45,Lead Healthcare Covid Services,--XX--------X-----------,True,0f6de42,2,
2022-02-14 11:55,2022-02-14,3044 Rotterdam,0,36,0,8,0,3,0,1,12:00,20:45,Spoedtestcorona,------------------------------------,True,237fb25,2,
2022-02-14 11:55,2022-02-14,8013 Zwolle,0,32,0,8,0,3,0,1,12:00,19:45,Covid Plus,--------------------------------,True,cdd0d57,2,
2022-02-14 11:55,2022-02-14,7418 Deventer,24,32,0,8,0,3,0,1,12:00,19:45,Covid Plus,--------XXXXXXXXXXXXXXXXXXXXXXXX,True,883ac04,2,
2022-02-14 11:55,2022-02-14,6131 Sittard,3,32,2,8,1,3,0,1,12:00,19:45,Lead Healthcare Covid Services,--XX--------X-------------------,True,e4346c6,2,
2022-02-14 11:55,2022-02-15,3769 Soesterberg,0,48,0,0,0,0,0,0,08:00,19:45,Covid Plus,------------------------------------------------,True,c0b3595,2,
2022-02-14 11:55,2022-02-15,3817 Amersfoort,6,42,0,0,0,0,0,0,09:30,19:45,Lead Healthcare Covid Services,------X-----XX--------X---------XX--------,True,0f6de42,2,
